id,title,categories,minPlayers,maxPlayers,playTime,difficulty,socialIntensity,learnEase,description,imageUrl,similar
g001,1~10數學學習盒,學習,2,4,30,3,3,3,訓練幼兒數字概念與加減,https://telifuj.github.io/tabletop-paradise/images/g001.jpg,
g002,12 Days of Christmas,派對,3,6,20,2,2,3,節慶交換禮物的策略遊戲,https://telifuj.github.io/tabletop-paradise/images/g002.jpg,
g003,13道線索,推理,2,6,30,3,2,3,破案與角色扮演結合的經典桌遊,https://telifuj.github.io/tabletop-paradise/images/g003.jpg,
g004,3D迷宮塔,,,,,,,,,,
g005,5秒定律,,,,,,,,,,
g006,5秒定律:大盒版,,,,,,,,,,
g007,一夜終極狼人,,,,,,,,,,
g008,一夜終極狼人:破曉,,,,,,,,,,
g009,一拍即呵,,,,,,,,,,
g010,一根香腸,,,,,,,,,,
g011,一路玩到掛,,,,,,,,,,
g012,一網打盡,,,,,,,,,,
g013,七大奇蹟,,,,,,,,,,
g014,七大奇蹟 對決 (主/中文),,,,,,,,,,
g015,七大奇蹟:城邦 (擴/中文),,,,,,,,,,
g016,七大奇蹟:通天塔擴充,,,,,,,,,,
g017,七大奇蹟:領袖 (擴/中文),,,,,,,,,,
g018,七大奇蹟對決套組(含擴充),,,,,,,,,,
g019,七彩跑跑豬,,,,,,,,,,
g020,八分鐘帝國,,,,,,,,,,
g021,力爭上游,,,,,,,,,,
g022,三人成築 洋紅版,,,,,,,,,,
g023,三人成築 薄荷版,,,,,,,,,,
g024,三千世界鴉殺盡,,,,,,,,,,
g025,三隻小豬,,,,,,,,,,
g026,上流社會,,,,,,,,,,
g027,亡命駛徒,,,,,,,,,,
g028,亡者神抽,,,,,,,,,,
g029,口袋密室:威尼斯大劫案,,,,,,,,,,
g030,口袋密室:時間測試,,,,,,,,,,
g031,口袋密室:幕後驚奇,,,,,,,,,,
g032,土狼在笑你,,,,,,,,,,
g033,大五月花號,,,,,,,,,,
g034,大五月花號：商人擴充,,,,,,,,,,
g035,大五月花號:農夫擴充,,,,,,,,,,
g036,大地傳說,,,,,,,,,,
g037,大限77,,,,,,,,,,
g038,大家一起Making BL,,,,,,,,,,
g039,大師畫廊,,,,,,,,,,
g040,大魚吃小魚,,,,,,,,,,
g041,大搜查 01 (主/中文),,,,,,,,,,
g042,大搜查-傳奇冒險,,,,,,,,,,
g043,大搜查! 神話冒險 08 (主/中文),,,,,,,,,,
g044,大搜查！史詩冒險 07 (主/中文),,,,,,,,,,
g045,大搜查!兒童版:偵探故事,,,,,,,,,,
g046,大搜查！星際大戰 SW01 (主/中文),,,,,,,,,,
g047,大搜查！英勇冒險 05 (主/中文),,,,,,,,,,
g048,大搜查！時光冒險 06 (主/中文),,,,,,,,,,
g049,大搜查！神秘冒險 02 (主/中文),,,,,,,,,,
g050,大搜查！異域冒險 04 (主/中文),,,,,,,,,,
g051,大搜查！絕密冒險 03 (主/中文),,,,,,,,,,
g052,大搜查！超自然冒險 中文版,,,,,,,,,,
g053,大搜查！遊戲冒險,,,,,,,,,,
g054,大腦益智盒 字母遊戲 (主/中文),,,,,,,,,,
g055,大滿貫,,,,,,,,,,
g056,大頭娃娃,,,,,,,,,,
g057,大頭娃娃套組,,,,,,,,,,
g058,大鍋炒,,,,,,,,,,
g059,女巫的佳釀,,,,,,,,,,
g060,小小公園,,,,,,,,,,
g061,小小世界,,,,,,,,,,
g062,小小生態圈,,,,,,,,,,
g063,小小守護者,,,,,,,,,,
g064,小小村莊,,,,,,,,,,
g065,小小城鎮,,,,,,,,,,
g066,小小英雄出任務,,,,,,,,,,
g067,小小貓頭鷹,,,,,,,,,,
g068,小小賽車手,,,,,,,,,,
g069,小小賽車手 (主/中文),,,,,,,,,,
g070,小手動動紙袋手偶,,,,,,,,,,
g071,小手揉揉紙團創作,,,,,,,,,,
g072,小木偶,,,,,,,,,,
g073,小王子:駛向群星,,,,,,,,,,
g074,小早川,,,,,,,,,,
g075,小羊躲貓貓,,,,,,,,,,
g076,小紅帽與大野狼 (主/中文),,,,,,,,,,
g077,小島,,,,,,,,,,
g078,小惡魔,,,,,,,,,,
g079,小農巴菲特,,,,,,,,,,
g080,小雞大逃亡,,,,,,,,,,
g081,山中小屋,,,,,,,,,,
g082,不在場證明,,,,,,,,,,
g083,不要命的冒險,,,,,,,,,,
g084,不要喚醒克蘇魯,,,,,,,,,,
g085,中國城 (主/英文),,,,,,,,,,
g086,五年五百億,,,,,,,,,,
g087,五感大挑戰,,,,,,,,,,
g088,今晚要吃誰,,,,,,,,,,
g089,內鬼疑雲:新版,,,,,,,,,,
g090,六次方認知學習多米諾-邏輯配對,,,,,,,,,,
g091,化合物,,,,,,,,,,
g092,化裝舞會,,,,,,,,,,
g093,化裝舞會:擴充,,,,,,,,,,
g094,午茶之戰,,,,,,,,,,
g095,厄夜魔堡,,,,,,,,,,
g096,反斗馬戲團,,,,,,,,,,
g097,反轉UNO遊戲卡,,,,,,,,,,
g098,天天都是情人節,,,,,,,,,,
g099,天生絕配:新版,,,,,,,,,,
g100,天生絕配:舊版,,,,,,,,,,
g101,天皇,,,,,,,,,,
g102,天姬世紀,,,,,,,,,,
g103,太空大冒險,,,,,,,,,,
g104,太空基地,,,,,,,,,,
g105,太陽神的祭司,,,,,,,,,,
g106,巴撒利市集,,,,,,,,,,
g107,巴黎鐵路,,,,,,,,,,
g108,心電感應,,,,,,,,,,
g109,心靈共感 (主/中文),,,,,,,,,,
g110,手指奧運會,,,,,,,,,,
g111,手造奇觀,,,,,,,,,,
g112,文獻室,,,,,,,,,,
g113,方舟:鐵盒,,,,,,,,,,
g114,方格都市 (主/中文),,,,,,,,,,
g115,方塊沙沙,,,,,,,,,,
g116,日與夜,,,,,,,,,,
g117,木林森處,,,,,,,,,,
g118,毛塵寶寶,,,,,,,,,,
g119,水火不容,,,,,,,,,,
g120,水果沙拉,,,,,,,,,,
g121,水果數到10,,,,,,,,,,
g122,水啦! (主/中文),,,,,,,,,,
g123,水瓶座,,,,,,,,,,
g124,火星骰,,,,,,,,,,
g125,火柴會說話:Family,,,,,,,,,,
g126,牙買加 (主/中文),,,,,,,,,,
g127,牙買加:擴充,,,,,,,,,,
g128,王國,,,,,,,,,,
g129,王國製圖師,,,,,,,,,,
g130,王牌檢察官,,,,,,,,,,
g131,世界上有2種人!,,,,,,,,,,
g132,世紀:東方奇觀,,,,,,,,,,
g133,世紀:香料之路,,,,,,,,,,
g134,世紀:新世界,,,,,,,,,,
g135,仙子魔法陣,,,,,,,,,,
g136,仙丹妙搖,,,,,,,,,,
g137,仙境夢遊(主/中文),,,,,,,,,,
g138,出包魔法師,,,,,,,,,,
g139,出租公寓,,,,,,,,,,
g140,出租英雄,,,,,,,,,,
g141,功夫刺蝟,,,,,,,,,,
g142,功夫動物園,,,,,,,,,,
g143,加法對決,,,,,,,,,,
g144,北洋船隊,,,,,,,,,,
g145,卡卡頌+主教堂與餐館擴充套組,,,,,,,,,,
g146,卡卡頌兒童版,,,,,,,,,,
g147,卡布奇諾,,,,,,,,,,
g148,卡吞那,,,,,,,,,,
g149,卡里巴湖,,,,,,,,,,
g150,卡坦島,,,,,,,,,,
